ajoneuvoluokka;ensirekisterointipvm;ajoneuvoryhma;ajoneuvonkaytto;variantti;versio;kayttoonottopvm;vari;ovienLukumaara;korityyppi;ohjaamotyyppi;istumapaikkojenLkm;omamassa;teknSuurSallKokmassa;tieliikSuurSallKokmassa;ajonKokPituus;ajonLeveys;ajonKorkeus;kayttovoima;iskutilavuus;suurinNettoteho;sylintereidenLkm;ahdin;sahkohybridi;merkkiSelvakielinen;mallimerkinta;vaihteisto;vaihteidenLkm;kaupallinenNimi;voimanvalJaTehostamistapa;tyyppihyvaksyntanro;yksittaisKayttovoima;kunta;Co2;matkamittarilukema;alue;valmistenumero2;jarnro
M1;2010-01-04;;01;AABZBX0;FM6FM62S002ST0GG;20100104;0;4;AA;;4;1505;1920;;4886;1855;1417;01;1798;118;4;true;;Volkswagen;PASSAT CC Sedan (AA) 4ov 1798cm3;1;6;PASSAT CC;05;e1*01/116*0468*02;01;049;178;54345;021;WVWZZZ3CZ9;3315144
M1;2010-01-29;;01;AFBLSX01;SGEFM5A40447GG;20090923;8;4;AF;1;5;1325;1820;1820;4315;1768;1459;02;1896;77;4;true;false;Seat;LEON Monikäyttöajoneuvo (AF) 4ov 1896cm3;1;5;LEON;05;e9*01/116*0052*19;02;179;119;226341;418;VSSZZZ1PZA;3400059
M1;2010-01-05;;01;14Z;2EU;20100105;8;4;AB;;5;1255;1770;;4490;1755;1470;01;1598;77;4;false;;Mazda;3 Viistoperä (AB) 4ov 1598cm3;1;5;3;05;e11*01/116*0262*02;01;405;149;108559;539;JMZBL14Z20;3430029
M1;2010-02-19;;01;ZRT271(E);ZRT271L-AEFEPW(1C);20091109;Y;4;AA;;5;1450;2000;;4715;1810;1480;01;1798;108;4;false;;Toyota;AVENSIS Sedan (AA) 4ov 1798cm3;1;6;AVENSIS;05;e11*01/116*0331*02;01;272;154;156283;676;SB1BG76L00;3460463
M1;2010-01-05;;01;R20DF0;JDAAA50;20011115;8;5;AC;;5;1555;2080;2080;4540;1730;1470;02;2148;85;4;true;false;Mercedes-Benz;C 200 CDI Farmari (AC) 5ov 2148cm3;1;6;C 200 CDI;05;e1*98/14*0158*00;02;887;177;334126;317;WDB2032041;3467640
M1;2010-03-06;;01;F5PG1;M57AZ1;20100306;0;4;AF;;5;1317;1820;;4490;1790;1525;01;1591;91;4;false;;Kia;CEED Monikäyttöajoneuvo (AF) 4ov 1591cm3;1;5;CEED;05;e4*01/116*0121*15;01;143;142;91757;395;U5YHC812AA;3473159
M1;2010-01-04;;01;AACAYCX0;FM5FM5A4057ST7MGEVR2;20100104;5;4;AA;;5;1486;2000;;4870;1820;1492;02;1598;77;4;true;;Volkswagen;PASSAT Sedan (AA) 4ov 1598cm3;1;5;PASSAT;05;e1*01/116*0307*22;02;272;118;124232;676;WVWZZZ3CZA;3477379
M1;2010-01-15;;01;FS11;1A11A5EABN5;20100115;8;4;AC;;5;1278;1860;;4515;1753;1500;01;1598;85;4;false;;Opel;ASTRA STATION WAGON Farmari (AC) 4ov 1598cm3;1;5;ASTRA STATION WAGON;05;e1*2007/46*0341*00;01;092;158;97181;017;W0L0AHL35A;3481120
M1;2010-04-14;;01;BZ0V;BZ0V06;20100414;6;4;AB;;5;1290;1734;;4295;1808;1471;01;1598;81;4;false;;Renault;MEGANE Viistoperä (AB) 4ov 1598cm3;1;6;MEGANE;05;e2*01/116*0373*10;01;049;162;96337;029;VF1BZ0V064;3484729
M1;2010-03-24;;01;KZ0V;KZ0V06;20100324;2;4;AC;;5;1350;1780;;4559;1804;1523;01;1598;81;4;false;;Renault;MEGANE Farmari (AC) 4ov 1598cm3;1;6;MEGANE;05;e2*01/116*0373*10;01;049;162;80063;021;VF1KZ0V064;3488079
M1;2010-06-28;;01;19C;6;20100628;8;4;AC;;5;1575;2135;;4785;1795;1490;02;2184;92;4;true;;Mazda;6 Farmari (AC) 4ov 2184cm3;1;6;6;05;e1*01/116*0448*05;02;545;149;170651;662;JMZGH19C60;3491374
M1G;2010-04-08;;01;;;20100408;0;4;AC;;5;2415;2990;;4760;1885;1890;02;2982;127;4;true;;Toyota;LAND CRUISER (150 SERIES) Farmari (AC) 4ov 2982cm3 A;2;5;LAND CRUISER (150 SERIES);10;;02;208;214;250873;851;JTEBH3FJ80;3494532
M1;2010-01-20;;01;EV11;31;20040708;Y;4;AA;;5;1470;1895;1895;4470;1740;1420;01;2170;125;6;false;false;BMW;320i Sedan (AA) 4ov 2170cm3;1;5;320i;05;e1*98/14*0097*15;01;090;213;252589;797;WBAEV11040;3500032
M1;2010-03-02;;01;SG9;050;20060125;8;5;AC;;5;1580;2000;2000;4490;1740;1590;01;2450;169;4;true;;Subaru;FORESTER Farmari (AC) 5ov 2450cm3;;;FORESTER;05;e13*98/14*0087*03;01;420;254;252801;791;JF1SG9LD36;3503189
M1;2010-02-12;;01;X23GK2;FZACA501;20100212;1;4;AC;;5;1279;1770;;3883;1764;1595;01;1699;85;4;false;;Mercedes-Benz;A 180 Farmari (AC) 4ov 1699cm3;3;;A 180;05;e1*01/116*0288*11;01;049;166;74277;027;WDD1690321;3505949
M1;2010-09-30;;01;BB11;1A18D4BNDHM5;20100930;8;4;AA;;5;1570;2075;;4830;1856;1498;01;1598;132;4;true;;Opel;INSIGNIA Sedan (AA) 4ov 1598cm3;1;6;INSIGNIA;05;e1*2007/46*0374*00;01;543;179;46236;019;W0LGM5GB6A;3508758
M1;2010-03-01;;01;U216F0;SEAAA500;20041208;0;5;AC;;5;1855;2405;2405;4850;1822;1480;02;2685;130;5;true;false;Mercedes-Benz;E 270 CDI Farmari (AC) 5ov 2685cm3 A;2;;E 270 CDI;05;e1*01/116*0213*03;02;581;193;362028;397;WDB2112161;3511913
M1;2010-03-03;;01;ABPJF1;FAV1J004R4F60S57MG;20100303;0;4;AC;;5;1695;2250;;5060;1855;1473;01;1984;125;4;true;;Audi;A6 Farmari (AC) 4ov 1984cm3;3;;A6;05;e1*01/116*0254*22;01;297;181;170533;708;WAUZZZ4F4A;3514883
M1;2010-03-19;;01;ACCBZBX0;FM6FM6AJ008E7MGN1;20100319;6;4;AC;;5;1234;1750;;4308;1786;1500;01;1197;77;4;true;;Volkswagen;GOLF Farmari (AC) 4ov 1197cm3;1;6;GOLF;05;e1*01/116*0242*33;01;444;121;148001;087;WVWZZZ1KZA;3518106
