ID;Kommentti;Mainepisteet
0001;mvseibmosm5;100
0002;s5semh5ehse5;-42
0003;spmss4easm4445;
0004;464566446;1435
0005;hmpirmtbnorn;''
0006;-.456-<odsngo5;''
0008;,,s.5,ymsw5w-56;13434
0011;eotigseo;a
0011;,,s.5,.(556;2073
0012;,,s.5,.(556;235
0013;-.4,56kom-m<entti5;8805
0014;¤%qwerty,.;5056
0015;Hei, olen kommentti.;-608
0016;Hei, olen kommentti.;332
0017;¤%qwerty,.;-4039
0018;Validi kommentti;-3328
0019;Hei, olen kommentti.;2559
0020;<>!=();7129
0021;Validi kommentti;-831
0022;Hei, olen kommentti.;-1939
0023;Validi kommentti;1410
0024;,,s.5,.(556;9996
0025;,,s.5,.(556;7066
0026;par!si-ttu;-7218
0027;Validi kommentti;1343
0028;,,s.5,.(556;-237
0029;Validi kommentti;3416
0030;<>!=();6736
0031;Validi kommentti;5820
0032;Validi kommentti;1347
0033;<>!=();-646
0034;Validi kommentti;-1398
0035;<>!=();-6453
0036;par!si-ttu;8106
0037;,,s.5,.(556;4677
0038;<>!=();-4244
0039;<>!=();-3961
0040;<>!=();7364
0041;par!si-ttu;3085
0042;Validi kommentti;-4653
0043;¤%qwerty,.;4455
0044;Validi kommentti;-8277
0045;<>!=();-5640
0046;<>!=();349
0047;-.4,56kom-m<entti5;18
0048;<>!=();2717
0049;,,s.5,.(556;-3810
0050;-.4,56kom-m<entti5;7260
0051;Validi kommentti;-8315
0052;,,s.5,.(556;3538
0053;Hei, olen kommentti.;6368
0054;<>!=();-2661
0055;Hei, olen kommentti.;5823
0056;Validi kommentti;-3705
0057;<>!=();664
0058;,,s.5,.(556;2885
0059;¤%qwerty,.;-6444
0060;Hei, olen kommentti.;4082
0061;Validi kommentti;-4231
0062;par!si-ttu;4090
0063;Hei, olen kommentti.;8889
0064;-.4,56kom-m<entti5;7038
0065;<>!=();1130
0066;-.4,56kom-m<entti5;8659
0067;Hei, olen kommentti.;-2061
0068;Hei, olen kommentti.;-4575
0069;Hei, olen kommentti.;-897
0070;,,s.5,.(556;-6285
0071;Hei, olen kommentti.;7708
0072;<>!=();6711
0073;par!si-ttu;2599
0074;¤%qwerty,.;6345
0075;,,s.5,.(556;-1341
0076;Validi kommentti;7600
0077;Hei, olen kommentti.;9032
0078;¤%qwerty,.;187
0079;Hei, olen kommentti.;2894
0080;<>!=();-6737
0081;,,s.5,.(556;7885
0082;-.4,56kom-m<entti5;3642
0083;<>!=();-4673
0084;<>!=();-5537
0085;<>!=();8415
0086;,,s.5,.(556;-1493
0087;<>!=();6893
0088;Hei, olen kommentti.;-3683
0089;-.4,56kom-m<entti5;6412
0090;,,s.5,.(556;5901
0091;Hei, olen kommentti.;-8297
0092;Validi kommentti;1162
0093;,,s.5,.(556;-8875
0094;-.4,56kom-m<entti5;1098
0095;,,s.5,.(556;8361
0096;<>!=();311
0097;¤%qwerty,.;7243
0098;¤%qwerty,.;4170
0099;Hei, olen kommentti.;-9491
0100;Validi kommentti;-2404
0685;Hei, olen kommentti.;-3379
0686;,,s.5,.(556;8453
0687;¤%qwerty,.;-1553
0688;,,s.5,.(556;-6642
0689;,,s.5,.(556;9469
0690;-.4,56kom-m<entti5;9234
0691;Hei, olen kommentti.;-2616
0692;par!si-ttu;-9610
0693;Validi kommentti;5087
0694;Hei, olen kommentti.;-5663
0695;-.4,56kom-m<entti5;2846
0696;-.4,56kom-m<entti5;7174
0697;,,s.5,.(556;7695
0698;Validi kommentti;-2130
0699;Hei, olen kommentti.;4729
0700;par!si-ttu;-8515
0701;par!si-ttu;-4637
0702;par!si-ttu;8461
0703;¤%qwerty,.;1995
0704;,,s.5,.(556;3916
0705;par!si-ttu;-3302
0706;-.4,56kom-m<entti5;-4437
0707;,,s.5,.(556;-9528
0708;-.4,56kom-m<entti5;-2763
0709;<>!=();1031
0710;Validi kommentti;-1885
0711;par!si-ttu;2345
0712;Validi kommentti;-9823
0713;par!si-ttu;4619
0714;Validi kommentti;-9209
0715;par!si-ttu;5253
0716;¤%qwerty,.;-6714
0717;,,s.5,.(556;-4560
0718;par!si-ttu;-5333
0719;<>!=();-6394
0720;par!si-ttu;-7752
0721;<>!=();8362
0722;Validi kommentti;-1993
0723;<>!=();9300
0724;par!si-ttu;2887
0725;,,s.5,.(556;-7109
0726;<>!=();-6872
0727;Hei, olen kommentti.;8383
0728;par!si-ttu;-1782
0729;¤%qwerty,.;-5856
0730;¤%qwerty,.;-1608
0731;-.4,56kom-m<entti5;-5778
0732;-.4,56kom-m<entti5;772
0733;,,s.5,.(556;-6985
0734;,,s.5,.(556;-9735
0735;,,s.5,.(556;872
0736;par!si-ttu;1151
0737;Validi kommentti;-6442
0738;,,s.5,.(556;-5108
0739;par!si-ttu;9394
0740;par!si-ttu;-9162
0741;par!si-ttu;998
0742;Hei, olen kommentti.;8091
0743;¤%qwerty,.;-7162
0744;,,s.5,.(556;4951
0745;<>!=();-4301
0746;-.4,56kom-m<entti5;3072
0747;<>!=();5540
0748;¤%qwerty,.;-7907
0749;<>!=();4273
0750;,,s.5,.(556;2028
0751;,,s.5,.(556;-7833
0752;par!si-ttu;-3130
0753;<>!=();-8380
0754;Validi kommentti;8937
0755;Validi kommentti;-6505
0756;-.4,56kom-m<entti5;8548
0757;¤%qwerty,.;-6595
0758;Hei, olen kommentti.;-3332
0759;<>!=();-7396
0760;,,s.5,.(556;5365
0761;par!si-ttu;3585
0762;par!si-ttu;-1391
0763;Hei, olen kommentti.;8817
0764;Hei, olen kommentti.;-6304
0765;Hei, olen kommentti.;8970
0766;<>!=();-4699
0767;¤%qwerty,.;-8205
0768;par!si-ttu;-5269
0769;Hei, olen kommentti.;6301
0770;Validi kommentti;-584
0771;-.4,56kom-m<entti5;4149
0772;<>!=();4488
0773;Validi kommentti;216
0774;<>!=();-7293
0775;<>!=();5472
0776;Hei, olen kommentti.;-8540
0777;Validi kommentti;4317
0778;<>!=();1025
0779;¤%qwerty,.;7777
0780;Validi kommentti;-3714
0781;<>!=();6126
0782;,,s.5,.(556;9038
0783;Hei, olen kommentti.;139
0784;Validi kommentti;2063
0785;Hei, olen kommentti.;3889
0786;-.4,56kom-m<entti5;-7662
0787;par!si-ttu;2142
0788;Hei, olen kommentti.;-4179
0789;,,s.5,.(556;1244
0790;,,s.5,.(556;-4929
0791;<>!=();2114
0792;Hei, olen kommentti.;-2279
0793;¤%qwerty,.;-1686
0794;-.4,56kom-m<entti5;4034
0795;Hei, olen kommentti.;7334
0796;par!si-ttu;-1699
0797;,,s.5,.(556;-6136
0798;-.4,56kom-m<entti5;-3800
0799;-.4,56kom-m<entti5;8174
0800;,,s.5,.(556;8736
0801;Hei, olen kommentti.;4185
0802;-.4,56kom-m<entti5;836
0803;par!si-ttu;-2692
0804;-.4,56kom-m<entti5;6811
0805;,,s.5,.(556;6342
0806;¤%qwerty,.;8753
0807;<>!=();-928
0808;par!si-ttu;-6179
0809;,,s.5,.(556;-4918
0810;Validi kommentti;-405
0811;Validi kommentti;-2163
0812;,,s.5,.(556;4837
0813;Hei, olen kommentti.;3974
0814;Validi kommentti;-4651
0815;<>!=();7744
0816;Hei, olen kommentti.;7452
0817;-.4,56kom-m<entti5;-6162
0818;,,s.5,.(556;9951
0819;¤%qwerty,.;2893
0820;Validi kommentti;-9974
0821;-.4,56kom-m<entti5;-2225
0822;par!si-ttu;1258
0823;par!si-ttu;9822
0824;<>!=();-3641
0825;<>!=();2549
0826;,,s.5,.(556;-677
0827;par!si-ttu;7620
0828;<>!=();-5950
0829;<>!=();-7086
0830;-.4,56kom-m<entti5;5061
0831;<>!=();-5604
0832;<>!=();2969
0833;par!si-ttu;-4088
0834;Validi kommentti;-8503
0835;Validi kommentti;4889
0836;¤%qwerty,.;-6586
0837;-.4,56kom-m<entti5;-4988
0838;par!si-ttu;4110
0839;,,s.5,.(556;-3795
0840;¤%qwerty,.;4964
0841;Hei, olen kommentti.;1660
0842;Validi kommentti;744
0843;Validi kommentti;-2377
0844;<>!=();3967
0845;par!si-ttu;7514
0846;<>!=();9982
0847;,,s.5,.(556;-8529
0848;Validi kommentti;-9634
0849;¤%qwerty,.;-5076
0850;<>!=();-7806
0851;par!si-ttu;5664
0852;<>!=();1197
0853;,,s.5,.(556;-1413
0854;<>!=();-6694
0855;-.4,56kom-m<entti5;-7136
0856;Hei, olen kommentti.;-6033
0857;-.4,56kom-m<entti5;903
0858;<>!=();-5133
0859;¤%qwerty,.;-6986
0860;<>!=();3810
0861;Validi kommentti;-1331
0862;¤%qwerty,.;-8723
0863;Hei, olen kommentti.;-2675
0864;-.4,56kom-m<entti5;5944
0865;Validi kommentti;7646
0866;,,s.5,.(556;5756
0867;par!si-ttu;-7990
0868;par!si-ttu;-3821
0869;Validi kommentti;8248
0870;Hei, olen kommentti.;-6639
0871;Validi kommentti;4497
0872;¤%qwerty,.;3111
0873;<>!=();-2644
0874;-.4,56kom-m<entti5;6172
0875;,,s.5,.(556;1247
0876;par!si-ttu;1543
0877;<>!=();-7708
0878;,,s.5,.(556;5252
0879;par!si-ttu;-6570
0880;Hei, olen kommentti.;-5066
0881;Hei, olen kommentti.;-3340
0882;-.4,56kom-m<entti5;-2128
0883;¤%qwerty,.;5475
0884;,,s.5,.(556;2839
0885;¤%qwerty,.;525
0886;par!si-ttu;100
0887;<>!=();-9
0888;Hei, olen kommentti.;4822
0889;<>!=();812
0890;-.4,56kom-m<entti5;7046
0891;,,s.5,.(556;-4633
0892;<>!=();-9752
0893;¤%qwerty,.;-8391
0894;-.4,56kom-m<entti5;6774
0895;¤%qwerty,.;-9186
0896;Hei, olen kommentti.;895
0897;Validi kommentti;2359
0898;Hei, olen kommentti.;9257
0899;par!si-ttu;-4116
0900;Hei, olen kommentti.;7380
0901;-.4,56kom-m<entti5;2533
0902;-.4,56kom-m<entti5;-8963
0903;Hei, olen kommentti.;-2495
0904;¤%qwerty,.;-8390
0905;,,s.5,.(556;-7174
0906;-.4,56kom-m<entti5;-9222
0907;,,s.5,.(556;-314
0908;¤%qwerty,.;5019
0909;,,s.5,.(556;-8738
0910;<>!=();4573
0911;Validi kommentti;-5540
0912;Validi kommentti;9270
0913;¤%qwerty,.;7933
0914;,,s.5,.(556;2930
0915;<>!=();7203
0916;¤%qwerty,.;-6355
0917;Validi kommentti;6381
0918;-.4,56kom-m<entti5;-1741
0919;,,s.5,.(556;9336
0920;Validi kommentti;-9823
0921;¤%qwerty,.;-6970
0922;par!si-ttu;6536
0923;Hei, olen kommentti.;-4088
0924;<>!=();-5792
0925;Hei, olen kommentti.;885
0926;Hei, olen kommentti.;-3795
0927;-.4,56kom-m<entti5;2675
